Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
PG 16:1_16:1,0.11343864775201755,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-2.808214665598582,2.1015318837017136,0.101,0.9956786262173574,p>0.051,NA
PG 16:1_16:1_2,0.7166714132966441,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-8.499013099925369,3.6943516464957553,0.00148,2.8297382846050425,Increased,PG
PG 16:1_17:1,0.5661732268240078,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-5.87960290179663,2.304892759021055,0.0197,1.705533773838407,Increased,PG
PG 16:1_17:1_2,-0.919108753736349,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,4.632019226661425,2.068461982259899,0.0409,1.3882766919926581,Decreased,PG
PG 16:1_18:1,-0.018758675884070805,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.381041449240976,2.599258034874449,0.732,0.13548891894160814,p>0.051,NA
PG 17:0_18:1,-1.4981763078275852,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,43.492319746796205,3.7647007160079173,3.16e-6,5.5003129173815966,Decreased,PG
PG 17:0_19:1,-1.4074429093590646,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,16.036296694849547,2.0174508920150718,0.00373,2.4282911681913126,Decreased,PG
PG 17:1_18:1,-0.1984985668408893,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.5094306815007013,2.25451087665138,0.257,0.5900668766687055,p>0.051,NA
PG 17:1_19:1,-1.06404663642814,signal,0.28 OsM,1.1 OsM + 1mM GB,2,3,4.653733639771788,1.9860144351056157,0.0438,1.3585258894959005,Decreased,PG
PG 18:0_18:1,-0.003860112386508261,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.07672374704006278,3.983173524419421,0.943,0.02548830726267165,p>0.051,NA
PG 18:1_18:1,-0.2262944623994486,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,5.493683867242507,3.453537059057684,0.00812,2.0904439707588245,Decreased,PG
PG 18:1_19:1,-0.7873813576039289,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,3.8986799077194187,3.5586691428084034,0.0219,1.6595558851598817,Decreased,PG
