Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
PG 16:0_19:1,1.7736476442915656,signal,0.28 OsM,1.02 OsM,3,3,-7.557178519382345,2.3516947316758703,0.0106,1.9746941347352298,Increased,PG
PG 16:1_16:1,-0.8132240652732501,signal,0.28 OsM,1.02 OsM,3,3,5.11291813577957,2.6983294116406014,0.0187,1.728158393463501,Decreased,PG
PG 16:1_16:1_2,0.49050371614346333,signal,0.28 OsM,1.02 OsM,3,3,-2.8870287175028744,3.13727778978956,0.0599,1.2225731776106885,p>0.051,NA
PG 16:1_17:1,0.920191551524331,signal,0.28 OsM,1.02 OsM,3,3,-6.001520695199787,2.9847302398827487,0.0094,2.0268721464003012,Increased,PG
PG 16:1_17:1_2,-0.9154220285642153,signal,0.28 OsM,1.02 OsM,3,3,5.497222906295997,2.2007122477095225,0.0254,1.595166283380062,Decreased,PG
PG 16:1_18:1,-0.6213911234570209,signal,0.28 OsM,1.02 OsM,3,3,2.99532027385413,2.7007873210184496,0.0661,1.1797985405143596,p>0.051,NA
PG 17:0_18:1,-1.4492669710187054,signal,0.28 OsM,1.02 OsM,3,3,7.1406077612309025,2.492102433433241,0.0102,1.9913998282380825,Decreased,PG
PG 17:0_19:1,1.37755642045201,signal,0.28 OsM,1.02 OsM,3,3,-9.488501650102924,3.083554723213531,0.00222,2.653647025549361,Increased,PG
PG 17:1_18:1,0.9262797102265377,signal,0.28 OsM,1.02 OsM,3,3,-4.137855363876262,3.005986281282037,0.0255,1.5934598195660448,Increased,PG
PG 17:1_19:1,3.013241144954123,signal,0.28 OsM,1.02 OsM,2,3,-10.84839954440904,2.1042909891182044,0.00701,2.1542819820333414,Increased,PG
PG 18:0_18:1,-0.21822116139101422,signal,0.28 OsM,1.02 OsM,3,3,1.0903804528916041,3.6712507796505354,0.342,0.46597389394386496,p>0.051,NA
PG 18:1_18:1,-0.6753698129050311,signal,0.28 OsM,1.02 OsM,3,3,3.584899998470278,2.3839871081842228,0.0535,1.2716462179787715,p>0.051,NA
PG 18:1_19:1,0.7736125110766844,signal,0.28 OsM,1.02 OsM,3,3,-2.9863747616980647,2.045895475377492,0.0936,1.0287241512618948,p>0.051,NA
