Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
PG 16:0_18:2,0.40271708895662206,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-2.3007115844712556,2.0489291633411724,0.145,0.8386319977650252,p>0.051,NA
PG 16:0_19:1,-0.5991354076034746,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.4382534417201676,2.66555284436354,0.0494,1.3062730510763532,Decreased,PG
PG 16:1_16:1,0.17300182687710378,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.5175456334186745,2.665445451529483,0.237,0.6252516539898961,p>0.051,NA
PG 16:1_16:1_2,0.7647451866700951,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-4.985462778724083,3.135112964890839,0.014,1.853871964321762,Increased,PG
PG 16:1_17:1,0.628697984904868,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-5.08649325972836,3.844941527985205,0.00783,2.1062382379420566,Increased,PG
PG 16:1_17:1_2,-0.8588782471366614,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.3010163263186865,3.7700569440471754,0.0327,1.485452247339714,Decreased,PG
PG 16:1_18:1,0.03323860964174347,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.21412080075877984,2.09997717808706,0.849,0.07109230975604734,p>0.051,NA
PG 17:0_18:1,-1.4396191416432451,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,7.438436063561422,2.1144797048469095,0.0151,1.8210230527068305,Decreased,PG
PG 17:0_19:1,-1.348837036554616,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,6.76593073929725,2.937713803260717,0.00705,2.151810883008601,Decreased,PG
PG 17:1_18:1,-0.14417367352646793,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.7125823470932526,3.933940328806628,0.516,0.28735029837278864,p>0.051,NA
PG 17:1_19:1,-1.1199559683585394,signal,0.28 OsM,1.02 OsM + 1mM GB,2,3,4.438779531039414,1.7169876568121858,0.0619,1.2083093509798821,p>0.051,NA
PG 18:0_18:1,0.049090970935858985,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.32109173171581135,2.3150959230872603,0.775,0.1106982974936897,p>0.051,NA
PG 18:1_18:1,-0.17220945366887844,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,1.108241873856473,2.1589231794503085,0.376,0.42481215507233894,p>0.051,NA
PG 18:1_19:1,-0.7091747557404823,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,5.649629246364366,2.612201160915168,0.0158,1.8013429130455774,Decreased,PG
PG 30:1,0.6099936251863697,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-3.6889780210639236,2.4550597657520488,0.0481,1.3178549236261683,Increased,PG
PG 31:0,-1.6244027800253762,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,6.643643126222629,2.545615198610369,0.0114,1.9430951486635273,Decreased,PG
PG 31:1,-0.47838485871895964,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.032727424297544,2.2210113029322693,0.0823,1.0846001647877301,p>0.051,NA
PG 32:0,-0.0654575583238902,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.36420883689488054,2.0385778984657774,0.75,0.12493873660829995,p>0.051,NA
PG 32:1,0.16147770227962494,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.069223921701115,2.486425992801931,0.378,0.4225082001627747,p>0.051,NA
PG 37:2,-0.6736451660349955,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.8548655004642423,2.844015148552105,0.0339,1.469800301796918,Decreased,PG
PMeOH 14:0_16:0,-0.2751142018488638,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.8116330381036592,3.398901482314967,0.47,0.3279021420642826,p>0.051,NA
PMeOH 16:0_16:0,-0.33246402472043657,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.689177720049599,2.2207229981542453,0.556,0.2549252084179425,p>0.051,NA
PMeOH 16:0_16:1,0.12158411875910458,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.4598010454848296,2.56587191449461,0.682,0.16621562534352105,p>0.051,NA
PMeOH 16:0_17:1,-0.11119176777459255,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.42816000417131433,3.96592153536896,0.691,0.16052195262580163,p>0.051,NA
PMeOH 16:0_18:1,1.4444246617207328,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.826487545158953,2.5353309239393544,0.182,0.7399286120149252,p>0.051,NA
PMeOH 16:1_17:1,0.32404265175765773,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.056884712475325,2.4855360952963337,0.382,0.41793663708829126,p>0.051,NA
PMeOH 16:1_18:1,0.10817536513004235,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.3822665320911368,2.5794727474808066,0.732,0.13548891894160814,p>0.051,NA
PMeOH 17:1_18:1,0.9661102159563062,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.934433712646784,2.777973119653181,0.156,0.8068754016455384,p>0.051,NA
PMeOH 18:1_18:1,-0.03522867925859328,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.38122469423689004,2.448921830050082,0.734,0.13430394008392949,p>0.051,NA
PMeOH 30:1,0.4993064706621017,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.1027795418339574,3.9686551399953847,0.332,0.4788619162959637,p>0.051,NA
PMeOH 32:2,0.18381531176820398,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.5384496410562384,3.756680545190015,0.621,0.20690839982341983,p>0.051,NA
PMeOH 34:2,0.0724696763259707,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.11403691649631004,2.92408319952329,0.917,0.03763066432997889,p>0.051,NA
TG 14:0_14:0_16:0,0.2577319481974828,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.9467226990164823,3.136338123504242,0.143,0.8446639625349383,p>0.051,NA
TG 14:0_15:0_16:0,-0.3878462979516404,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,1.5048289911490564,2.955108011194905,0.231,0.6363880201078557,p>0.051,NA
TG 14:0_16:0_16:0,0.008203319213151625,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.03391959582958483,3.852442436197154,0.975,0.010995384301463193,p>0.051,NA
TG 14:0_16:0_17:0,0.9076392619521628,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-2.08478104703993,3.654610944655566,0.112,0.9507819773298184,p>0.051,NA
TG 15:0_16:0_16:1,0.40971640158184813,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.8623339318093967,3.323651319021822,0.446,0.35066514128785814,p>0.051,NA
TG 15:0_16:0_17:0,-0.11969388829514749,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.5501236032214563,3.416386797276427,0.616,0.21041928783557454,p>0.051,NA
TG 16:0_16:0_18:1,-0.07827760969820062,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.23172897112125732,3.9884984581009926,0.828,0.08196966321511988,p>0.051,NA
TG 16:0_16:1_16:1,-0.6296231461619237,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.8364108000793091,3.2147592759330137,0.461,0.33629907461035186,p>0.051,NA
TG 16:0_16:1_18:1,0.013437870672293723,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.036258888878135415,2.7532186689704488,0.974,0.011441043121384482,p>0.051,NA
TG 16:0_17:0_18:0,0.05110108470676268,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.12800166684504755,3.41763140540824,0.905,0.043351420794796675,p>0.051,NA
TG 16:0_17:0_18:1,-0.23972439507024101,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.8057936016110777,3.5033063020948134,0.471,0.3269790928711038,p>0.051,NA
