Sample Number,Condition,CL 14:0_16:0_18:0_18:1,CL 16:0_18:0_18:1_18:2,CL 64:1,CL 64:2,CL 66:2,CL 66:3,CL 66:5,CL 68:2,CL 68:3,CL 68:4,CL 72:4,DG 16:0_16:1,DG 18:1_18:1,FA 16:0,FA 16:1,FA 17:1,FA 18:0,FAHFA 16:0_18:2,HBMP 46:2,HBMP 48:2,HBMP 48:3,HBMP 50:3,HBMP 52:3,LPC 15:0/0:0,LPE 16:1,PA 17:0_17:1,PA 17:0_19:1,PA 18:1_19:1,PC 34:5,PE 12:0_14:0,PE 12:0_16:1,PE 12:0_17:1,PE 14:0_14:0,PE 14:0_15:0,PE 14:0_16:0,PE 14:0_16:1,PE 14:0_17:1,PE 14:1_16:1,PE 15:0_16:0,PE 15:0_16:0_2,PE 15:0_16:1,PE 16:0_16:0,PE 16:0_16:1,PE 16:0_17:0,PE 16:0_17:0_2,PE 16:0_17:1,PE 16:0_18:0,PE 16:0_18:1,PE 16:0_19:1,PE 16:1_16:1,PE 16:1_16:1_2,PE 16:1_17:1,PE 16:1_17:1_2,PE 16:1_18:1,PE 17:0_18:1,PE 17:0_18:1_2,PE 17:0_19:1,PE 17:1_17:1,PE 17:1_18:1,PE 17:1_18:1_2,PE 17:1_19:1,PE 18:0_18:1,PE 18:0_19:1,PE 18:1_18:1,PE 18:1_19:1,PE 19:1_19:1,PE 29:1,PE 30:1,PE 30:2,PE 31:1,PE 31:2,PE 33:0,PE 34:1,PE 34:2,PE 35:1,PE 36:2,PEtOH 14:0_15:0,PEtOH 15:1_16:1,PG 14:0_14:0,PG 14:0_16:0,PG 14:0_16:1,PG 15:0_16:0,PG 15:0_16:1,PG 16:0_16:0,PG 16:0_16:1,PG 16:0_17:0,PG 16:0_17:1,PG 16:0_18:0,PG 16:0_18:1,PG 16:0_18:2,PG 16:0_19:1,PG 16:1_16:1,PG 16:1_16:1_2,PG 16:1_17:1,PG 16:1_17:1_2,PG 16:1_18:1,PG 17:0_18:1,PG 17:0_19:1,PG 17:1_18:1,PG 17:1_19:1,PG 18:0_18:1,PG 18:1_18:1,PG 18:1_19:1,PG 30:1,PG 31:0,PG 31:1,PG 32:0,PG 32:1,PG 37:2,PMeOH 14:0_16:0,PMeOH 16:0_16:0,PMeOH 16:0_16:1,PMeOH 16:0_17:1,PMeOH 16:0_18:1,PMeOH 16:1_17:1,PMeOH 16:1_18:1,PMeOH 17:1_18:1,PMeOH 18:1_18:1,PMeOH 30:1,PMeOH 32:2,PMeOH 34:2,TG 14:0_14:0_16:0,TG 14:0_15:0_16:0,TG 14:0_16:0_16:0,TG 14:0_16:0_17:0,TG 15:0_16:0_16:1,TG 15:0_16:0_17:0,TG 16:0_16:0_18:1,TG 16:0_16:1_16:1,TG 16:0_16:1_18:1,TG 16:0_17:0_18:0,TG 16:0_17:0_18:1,TG 16:0_18:0_18:1,TG 18:0_18:1_18:1,TG 18:1_18:1_18:2,TG 18:1_18:2_18:2,TG 44:0,TG 45:0,TG 45:1,TG 46:0,TG 46:2,TG 47:0,TG 47:1,TG 49:0,TG 49:1,TG 52:1,TG 52:3,TG 52:4,TG 53:2,TG 54:1
1,0.28 OsM,0.097770511,0.17672784109098386,1.1302309104181032,5.1684816454371285,7.388231829741762,2.157803777256941,0.27979293367132557,0.5060067430594091,2.9923715827183908,1.8028808797847768,1.5809787836579736,0.6619489392279025,0.10448800606731738,1.6325842932851615,0.1849190826510034,0.4065519198767034,2.0901029357302616,0.07482129,0.26853719867292286,0.5835657245193521,0.054465495,0.10082392192563426,0.049395222,0.046973483,0.050947704,18.24505688074184,2.4825904500567733,27.07419588480198,0.7730163610548233,0.024778549,0.2690713921355541,0.18663964121201831,0.9393196065366372,1.3439674873023884,16.99685442204963,7.588817170292185,2.616079348380546,0.21541303335335812,3.1785714416853112,3.941838142340704,10.31312854672932,11.032736602900446,144.04998619716358,0.6237012980125297,0.13068194594844787,95.64804864345724,1.374185952999237,72.37336175764189,7.239929627104653,9.250219910115929,0.7133694765871298,3.575824547971307,1.2690917600592078,37.56118607806671,2.184345743249824,0.074271677,0.16873040469718345,1.6073288674476662,8.392312654267485,8.569248004176371,0.4130124864157555,1.6014495967878022,0.055667415,13.225249694308747,0.7360752405628673,0.026164369,0.10968415252114296,1.888610463467983,0.1547678269785518,2.681879958294813,0.039047465,0.7195815432329449,3.5732723203480647,1.6440339298331648,1.6061838090799652,0.4765939894667396,1.649200670257354e-7,1.700205402631105e-7,0.091167141,2.4478395643796897,1.5958042521548543,0.707599628,2.491963445188801,5.341702763751451,47.92621321421542,0.19917213951242135,15.934382582622172,1.6475844013273009,43.02848389172621,0.28451811639756086,2.5864662262279263,2.4132295500319145,0.097031122,0.5571242222437253,0.33368902990915417,46.08005805369002,1.1237908340557687,0.058400165,1.9796323061477656,0.060958308,0.7869408768613231,16.631785842415663,0.2876245693637807,1.210138692465638,0.5700157868666174,2.1921134932279775,2.356028049775587,74.08370940113528,0.2908506278507168,0.1203962391893857,0.2319046171452381,7.177932437006229,1.0059822969808971,0.15667831834044166,0.046024394,2.383360310574159,0.047510036,3.9457266990493407,0.062192923,0.1549393945723389,1.068730174969411,0.029839435,0.024981773,0.044675019,0.019238876,0.017672632,0.12342582147260248,0.1055076372257896,0.040953048,0.041456762,0.064850109,0.045749847,0.1159340913707894,0.086358966,0.066681753,0.02748213,0.030450632,0.024981773,0.004616546,0.016419262,0.021268752,0.03048729,0.005579066,0.10865226793735289,0.028173569,0.1159340913707894,0.073815466,0.021614394,0.044370627,0.054080893
2,0.28 OsM,0.080988981,0.1237482321717112,0.6746122535892553,3.244574894165404,4.382564258745955,1.2617518523560571,0.2188602469896856,0.4061110706639475,1.630620362992938,1.6541292553004143,1.4623323984876948,0.6126189325627593,0.080442458,2.098028086236275,0.1794576911053755,0.4481215745864015,3.330393901480026,0.11628592397240402,0.2565808059639147,0.5286888336115738,0.05449308,0.083927942,0.045620549,0.038681792,0.24544045074713464,13.643252107788458,2.2710590799341013,23.052244225102942,0.8415076638660101,0.031960745,0.2992201385545002,0.18841937623975816,1.0189049758870097,1.3030214980110644,16.926055706113615,7.825219841096098,2.671271882947493,0.23677167393880044,3.259043955512027,4.132980865021446,9.883987250827856,10.896771305217914,143.00961827685694,0.6143984476777594,0.12085913434830468,95.56757461509336,1.2971889703570527,70.95382099645047,7.077818679766931,8.634547264658082,0.5177835160033234,3.632148062664888,1.231849558349518,36.09841937334103,2.1419477604796193,0.065402212,0.14927289564295065,1.6089096955921487,8.490413225179084,8.830575228450765,0.3922279610420211,1.5325083406524171,0.060575034,12.70734843010345,0.7846524833598761,0.026658327,0.10158525767310106,1.8350124985660696,0.1274253298702401,2.830579334298349,0.1006992221302002,0.7764509695356985,3.8022203383720616,1.672986066509161,1.675126496840712,0.4191573013070149,1.3211135087796874e-7,1.3026022511618748e-7,0.095050251,2.4560332345156928,1.6967246196075496,0.7329729324840374,2.378191555266807,5.440834210237755,47.763737396472834,0.23641634940722275,16.62493132908624,1.581959427970184,41.27052384412486,0.2662285180288172,2.580865078568134,2.405131606000908,0.098280295,0.580524273,0.31900200657007743,44.19276992724061,1.1597184928158577,0.057955502,1.9689578108606445,0.073277725,0.7733379871760829,16.14369989266166,0.3058378344727448,1.3607887638175258,0.540743215,2.2257363569428184,2.181622946,73.72476802093672,0.3224222435921703,0.10124715650825249,0.14193967082931888,5.789142233578374,0.872692387,3.7992642225580897,0.03777292,1.9223615809794687,0.074685495,3.663396832953936,0.058037959,0.1197920711786342,1.095560913020616,0.036063534,0.037314394,0.063692268,0.00780413,0.035362285,0.16502023476692318,0.15869340446670224,0.079255209,0.088019758,0.117776848,0.068618145,0.11186748552182338,0.1499917183553121,0.073283307,0.036774772,0.036798732,0.037314394,0.01917826,0.006520457,0.039641168,0.04114056,0.036468819,0.11670328972828768,0.055318384,0.11258587128276017,0.074905096,0.031196622,0.033301911,0.087759856
4,0.28 OsM,0.085734088,0.15619720689623837,0.851434126,4.240442108179425,5.7161262799344845,1.7659976855702966,0.2644462796058242,0.40947001213281126,2.281702511542863,1.759469829855338,1.5458239887509968,0.5475322539977568,0.014254886,3.186652578835575,0.27128979903055384,0.4015127716355318,4.323045586,0.20394967594357605,0.2891874409606305,0.5676913589311375,0.055506064,0.086299748,0.049110845,0.034476106,0.19849376395621152,35.56928471507988,2.779054444198252,47.07770251634517,0.881106216,0.030345709,0.30768590368652643,0.21385950392907185,1.0826303067052334,2.139988875072151,25.35041600192852,9.100684863035587,3.1631278525717192,0.25625316497185324,4.881669323123754,4.751847524152115,12.282359573578937,15.998781633238227,207.31229617462697,0.7249761141930039,0.1459553093683167,142.85078284006082,1.3747447946967772,105.42915961875786,8.168898794647612,13.718033148691472,1.062937310357787,4.188004162603757,2.033199929028051,54.23204967437501,2.6454697268905845,0.096824786,0.17981202730274748,1.8529132490433389,12.330642977408012,12.588933182305825,0.4207815534378355,1.693936528486795,0.079342551,19.11092087600946,0.8449462876621407,0.028112325,0.047237357,2.837753737818541,0.2430559263448922,4.048387566732723,0.1617931347366514,1.071140454834365,4.388419439687313,2.4384286750630175,2.586774092842988,0.9671996101034708,2.4380432593442813e-7,2.635128736019701e-7,0.083404357,2.3992514128353353,1.5832849496713406,0.6761524638525279,2.207245232057809,5.381826756304212,46.53535843781972,0.23005182280643063,15.012410290724146,1.6218529027445994,37.64628301219736,0.22574689911676263,2.501313311834806,2.4417183709487116,0.085036092,0.6008766199183947,0.3242394168642484,41.31732750006066,1.1404194643176788,0.058405763,1.8535651377599696,NA,0.7233123902068566,15.410755952938391,0.38179268890867474,1.1004110711624402,0.5304832271379493,2.1486610293087383,1.986461869681016,68.39601411241371,0.3103889318589417,0.1952806049684856,0.5137880079865902,9.507126082645712,1.7296422729290677,0.21611845393685625,0.065114267,3.2321208793910148,0.12703014585933328,5.8262089824434264,0.15640699268345087,0.2658611600020663,2.4459318624371975,0.035567401,0.033938104,0.058162708,0.025718591,0.034246769,0.14845106312135495,0.13211322556664373,0.02777092,0.069132988,0.077171852,0.056720885,0.1476228051502379,0.096625599,0.0788217,0.029294243,0.030748146,0.033938104,0.007281359,0.024565822,0.026526062,0.044666864,0.072669263,0.12730259910081698,0.067980691,0.1481903254098299,0.089082326,0.026734636,0.047191643,0.1004150031116478
5,1.02 OsM,0.071854225,0.025721029,0.7808095314525646,2.6296357444716714,1.7685822874012675,0.4364595534928239,0.1984931243962678,0.11098108314246324,0.3464317183787284,0.3339730524829586,0.12736174163626515,0.24648925731184676,0.4210910477937264,2.393319781078968,0.078908522,0.4965222830336199,3.330992963252541,0.11840500390930414,0.069470085,0.12616663240933468,0.008400392,0.014893951,0.005107993,0.051754436,0.017013292,32.322665339212065,3.3670824444128384,12.857285118285686,0.5397435299090483,0.027791981,0.059324611,0.11041692564660624,0.761573877,0.6540058875086624,8.220658234811253,1.6293004114274143,4.614314550358282,0.048558859,1.3219067847578656,1.4303904207550304,1.0162227637220804,7.531127454387376,27.777588434490948,0.23328737879521907,0.051598001,128.53416414558006,0.7647658016326943,13.935896369765048,10.357521786853122,1.0987946639147392,0.28830421550142515,1.7676276704820713,0.2116932082733527,5.506468716192836,0.3087279821256842,0.013888818,0.146488544,3.2819850787062816,7.128992175132901,7.529147772,1.2690597849586764,0.4761706158395939,0.14888390324439424,1.6799595365834177,0.5890392266032293,0.090475645,0.097210371,1.0449203603527464,0.021786621,5.151035010530088,0.006236437,0.6202777393197394,3.333740883158953,3.149364400756112,0.24345959987700844,1.5081858685335587,8.314780857529395e-8,4.6145492832194464e-8,0.093185153,1.5755880657856338,0.8804158352557956,0.3983682784426604,0.5368717481330786,3.283046091,19.52157973903893,0.15178490737242556,40.12533109917746,0.4274356730884719,17.601365880842682,0.1798385532488573,5.243476367876415,0.8036912639220025,0.074539776,0.6519678901112764,0.098823607,17.27872496635146,0.22705954995352884,0.087283589,2.2759445311368194,0.3472402542112288,0.4125208910393964,5.930567409761855,0.3375787777420865,0.7552732752258818,0.24840689863214188,0.6265821131397938,3.1732630062294693,32.794434880939264,0.32620484687591705,0.057203958,0.15157373443862662,2.109748206422317,2.074216074125599,1.1172690590676722,0.033449219,0.554324714,0.20716158733283033,3.444547634311687,0.041533807,0.04692542,0.4363019269237962,0.030915721,0.01738832,0.064390048,0.017468977,0.02252369,0.14108266205809863,0.11027018938720448,0.051195233,0.043418842,0.081086842,0.052367356,0.10946286436635956,0.088369752,0.053210157,0.025724041,0.030915721,0.01738832,0.020838172,0.03076771,0.022996757,0.037915326,0.022858535,0.125920949,0.038216871,0.1121706537382742,0.077643599,0.030196499,0.028533154,0.055795204
6,1.02 OsM,0.2014079188856454,0.054002403,1.975655681923872,6.387816293535877,4.4674907902069645,1.1996769757255328,0.3565612463403947,0.27025581617864425,0.8740818371833741,0.33730945637304405,0.13055076079036382,0.29890785603140096,0.2883800402715597,2.874404273576342,0.065640863,0.5080833883071856,4.302087485305861,0.16525487200599173,0.082498814,0.12356418700490988,0.008563674,0.012386389,0.005701437,0.047323041,0.048950107,23.87298891512265,3.299422545920205,5.947177958301653,0.5952562331806902,0.026296041,0.057682376,0.11503991808808324,0.8137919189822485,0.798084468,9.721057404963371,1.557721136228459,4.164731630693816,0.038658892,1.6640707657080211,1.5178161213190535,0.8955917856558342,8.942867055,31.528090678405427,0.2616629276724162,0.060278568,146.8455867221934,0.8143500137717405,15.991121474684313,10.373280009420668,1.230443941785908,0.4137312970678512,1.6227187611022182,0.24266055804687192,6.033634182732045,0.31703496425335215,0.015247991,0.167722953,3.318794813043634,8.368191619776649,8.872459627331544,1.3113841597042868,0.4544240418660907,0.15480077365924583,1.8848160155564635,0.5689733067744988,0.091111759,0.11570817094772878,1.1068190540938774,0.028211224,5.793235141421451,NA,0.31099751053428404,3.493575004091604,4.060040727076162,0.28424702510455735,1.752843981305443,1.1585003843205463e-7,6.010311493986033e-8,0.10097431380236556,1.6010909883546252,0.9119919601006208,0.3884150688683052,0.5596638701049167,3.3257489564817435,18.956921986128023,0.17111799234524416,39.45285310302488,0.39412566793048626,15.686815930582654,0.2322513519846373,5.225870423358024,0.7896913265471462,0.067489407,0.6255679933833522,0.093401832,15.978641066011155,0.2673692634782946,0.088308292,2.1638526976281667,0.3479777353844004,0.3500171786941068,5.401668605624336,0.34824009109425264,0.5510281934612329,0.25996304209527255,0.6539273658344263,3.115664369191187,31.175558232497643,0.32070293988016607,0.11881599625094376,0.25368885520727597,3.599839469408773,4.1276463713288045,1.6565973422536957,0.062615513,0.9196467847975952,0.14715489443192847,4.219541493902768,0.074197745,0.066558907,0.7709744309745332,0.045737859,0.039678627,0.063696584,0.014741167,0.035879476,0.16591048989652965,0.1804780343298703,0.056348635,0.115040356,0.08248498,0.06761844,0.194869916,0.15120807968005412,0.094618742,0.041222641,0.045737859,0.039678627,0.015969631,0.024142309,0.044046898,0.046886062,0.036747121,0.1821218434562469,0.062481693,0.19541855836357352,0.1136265013738644,0.036328401,0.072726393,0.12821711185737475
8,1.02 OsM,0.35506617635371446,0.085413984,7.958899952942458,21.107119319569357,11.434122081727049,3.8262773592903296,0.7079628204411689,0.4333658621999786,2.806124281204971,0.3706214598740001,0.11091196106893284,0.20844092803836176,0.28477333287652923,2.371867910120067,0.062228203,0.402872257,3.2513803517034168,0.14087971226363222,0.049222707,0.12330084168461458,0.008008513,0.012158819,0.004931027,0.042153185,0.013958259,13.3313115,1.360706819704148,2.7957067353213154,0.4541293760254387,0.032365809,0.059610733,0.11444184520744848,0.7616928402788623,0.6427389153424492,8.615682713,1.8392816004428152,4.0753835489428765,0.033056646,1.3948970966286238,1.5520563744096958,1.1645990724176976,7.951855643968665,31.30562997505515,0.25493546659739946,0.06878014,114.60133006681096,0.8704073208807034,12.732532808078778,8.933597888588078,1.076449503680008,0.329910663,1.5681859163959628,0.2507750903057283,4.941959128185583,0.2804459486691065,0.011562093,0.12926065021468186,2.716194037,5.519806361123064,5.973406225274682,1.056974848903244,0.4564278856040237,0.1071489305736896,1.3703345201755364,0.4334551590387736,0.079698049,0.087345003,0.9412804033055362,0.0247493,4.725175758690104,0.021151864,0.5842331021207244,2.857812425108732,2.512071993179145,0.2221230251857534,1.253099306168289,1.4180555993284258e-7,6.836796336290587e-8,0.086330898,1.4095974402136269,0.7117033521182945,0.35493117792525225,0.57267605,2.97361337,16.23363389783928,0.14728029876138213,29.652844017060065,0.4234490324015984,12.526316831195096,0.1539388274431003,3.5565359871897875,0.6056352063431675,0.068012925,0.47062064975011786,0.082799434,12.49327852583738,0.17572434817073518,0.066302746,1.4684552705257308,0.24400189404912737,0.28597304844980914,4.742421209427465,0.1955338742021177,0.47188057956989216,0.2203641819138831,0.5317241640982835,3.016520751532613,27.58834211189447,0.19523370020486736,0.11846734977548988,0.2628584354202357,4.1222454315360455,3.297876095871344,1.8510986835629095,0.059302061,0.8233664980856181,0.2197320807535255,3.173620312499747,0.059105252,0.070137576,0.608452283,0.044917473,0.043689172,0.071386248,0.046628151,0.027894074,0.1719984870336818,0.1150488910553895,0.10386873433903168,0.058081862,0.082679874,0.060818233,0.12303121976017832,0.1165518073087586,0.061113541,0.03515731,0.044917473,0.043689172,0.011676328,0.00995322,0.03099238,0.065877425,0.028325893,0.15109818837161357,0.058040173,0.12344386229010276,0.075494103,0.041207708,0.046080361,0.08120667
9,1.02 OsM + 1mM GB,0.08222882,0.17457924655706414,0.9692106586966616,8.326968884,7.961709680628751,3.936317787,0.38333314289308706,0.46778636009443486,3.5266221555570243,1.7984778015897915,1.2269328251930507,0.3491650127756155,0.0572998,2.987773918163085,0.1411209891080365,0.3817434991659307,4.048496124031008,0.18027867726425276,0.21690200985250205,0.5308730594724068,0.053709677,0.091273504,0.041140701,0.045049978,0.20609439701697577,20.914188651978616,1.0323280303726308,28.428023569082093,0.92319726,0.029380625,0.2266737179042675,0.11377852485992906,0.9709715920341068,0.6572113487650738,11.291905028596195,10.553444220449755,3.338695905353009,0.21899653536939212,1.3269719931241528,1.662020235269611,6.373652744371194,9.738969050466835,163.52601768817237,0.22411281534585456,0.05908447,110.75403907341156,1.0063331810020943,67.50538462221482,6.141623093527203,12.034729210083304,1.0987851508276307,6.3546193264619975,0.991917545,43.64313434440864,0.8585646832693793,0.062687552,0.08878348,2.580686014126425,10.87041727656868,10.916993293516912,0.3792304404043711,1.389261321594638,0.058152736,12.44804772708662,0.625532219,0.01518723,0.071452363,2.09693371,0.16018437320050816,3.7929807559814246,0.073497425,0.15641314145769403,2.2458611268223008,2.6524580034984337,0.6801902532533497,0.48991309821233897,1.577825712582223e-7,2.831958422028757e-7,0.086518539,1.7381242186117674,2.051139250688856,0.2677090775381081,1.5998884378968812,4.528088847002191,47.10299400347466,0.040399235,14.040727919785384,1.135687139120179,36.42251565,0.33455614348903173,1.479248833777259,2.489169138533453,0.15729923375033844,0.780487234,0.1823692962408295,42.21297309420833,0.3808072339260767,0.018640476,1.368303442469322,0.024775872,0.7235146986869878,13.563251558636694,0.1636409625086191,1.7125506864251914,0.16458338321037658,1.4388569203195536,1.9898614534010313,73.14159286,0.17257581083585993,0.10515530015400608,0.2138669273007762,9.533441152,1.2172616909624443,4.611682029286029,0.076983853,3.2162242627738933,0.20749563353458592,4.188076410431635,0.1382844781403774,0.2440800068666389,2.2631566215215853,0.03584445,0.022039505,0.045294995801068647,0.020075959,0.023632015,0.13776089387984258,0.1101282336951528,0.052965056,0.053089144,0.07259446,0.055619648,0.083562161,0.08501502,0.052339863,0.026887474,0.035710369,0.022039505,0.029665254,0.007542368,0.03026694,0.042199664,0.023632015,0.09607503,0.038065347,0.083526532,0.096879516,0.027321743,0.044423346,0.077216776
10,1.02 OsM + 1mM GB,0.087040394,0.1713366394709078,1.1017287533567386,9.387866783699971,8.874148551378585,4.212463600368691,0.3993740704275396,0.47669874599801504,3.666130081057105,1.730751283542178,1.2128586259076002,0.31264621481267546,0.042943356,2.2225085530287783,0.2242755081505333,0.5482924129603541,3.3257919098410142,0.11409539142684644,0.2592581670171966,0.5342755527821833,0.055005895,0.079484639,0.041075427,0.051735597,0.18335681223586237,18.12858315510745,1.235330481719116,25.159397087279764,0.9460873777773788,0.027101264,0.2099820009392567,0.13706151728252478,0.9014166449992642,0.6533955638047689,11.102931467665297,9.913932925784612,3.099017771301072,0.21657268052977305,1.3447041887499795,1.6318936301868232,6.153241040277181,9.452259303184452,157.60699094673743,0.21930505082265583,0.081474996,109.59074296192246,0.9103660480875242,65.86405425789322,5.6767526509814825,11.316204701366322,0.9882605343359492,5.972045463249063,0.9581668054515836,41.33744078120799,0.7935639349615127,0.042872533,0.079868565,2.601480820821668,10.607566223458358,0.4843887435619219,0.38147713232433783,1.2481427508934024,0.051064388,11.878241708808371,0.6146864676490565,0.015583821,0.025569085,1.9944411765347256,0.16534013208087345,3.5766963083835126,0.073827059,0.2300174672733951,2.334058435,2.568301437724513,0.6645822075555693,0.34198125048481265,1.3889630726990118e-7,1.9436839355871736e-7,0.091303297,1.898388929609498,2.207609064713934,0.3008311880911608,1.6334097406303516,4.910026609831731,51.57485847,0.090897789,15.277177168175358,1.1706884516652514,38.07877056131024,0.32154124262861655,1.5932973729596314,2.636658085,0.16099681875265714,0.8550174464710116,0.2233367060403562,43.87207956266472,0.4272324709018359,0.020968566,1.811428905467669,0.031793729,0.7826931086507753,14.190411638903274,0.17355552862804446,1.8398600969268275,0.1411287880754938,1.5665034310187411,2.0360166272861413,79.76814750179418,0.17311367352506335,0.1462970719965059,0.24050260389164743,8.152315126668642,1.0934966478224477,4.148760947077118,0.05695052,2.707940165720355,0.086409763,4.149940046785003,0.14324652033035484,0.1938349964158912,1.7974857095149133,0.039283898,0.027460695,0.063545403,0.038186979,0.032464852,0.14072588852616263,0.15930950500071864,0.019055676,0.074886137,0.07587734,0.048250184,0.13268241569273764,0.12520565834556444,0.052223292,0.030870421,0.040474822,0.016946005,0.017007482,0.02674053,0.030714776,0.064665986,0.033091338,0.16466658866951048,0.054596357,0.13270933244204877,0.074924357,0.027021326,0.071213424,0.096042865
12,1.02 OsM + 1mM GB,0.078532931,0.16113012927677395,1.1993455910061588,10.393075957287415,9.42692188,4.714574347,0.39834808586459336,0.3861638647813947,3.6805747097591426,1.5500911084203322,1.2246633170858454,0.2949468046212708,0.036908347,2.1561819196341747,0.25811479276298804,0.4742963870809875,2.7352958573813884,0.1261821671573519,0.2901352766916281,0.5383230078755692,0.057450549,0.074243407,0.039883239,0.043214988,0.13975752629580152,12.986444259944143,NA,18.730911389538832,0.9228102950293318,0.027436329,0.20987870582016713,0.1558699954946592,0.8703406628881718,0.7426291404035948,12.749826958210823,10.705558313417992,3.6140433245867447,0.21435797474880655,1.500187304109627,1.7659768489339134,6.6517624538379945,10.501677006367808,156.36582788439551,0.2512332028242929,0.087731969,115.24906485371596,0.959813429,70.23068583861289,6.143243727111154,12.012616529509724,0.8514326183310659,6.446530176,0.9979769793444644,42.32906337551593,0.8921411011242067,0.049050253,0.084652142,2.810386113617363,11.87597484981257,11.844931102021208,0.4059811816290887,1.395953574887396,0.069201345,12.652933118378416,0.6457097543584146,0.017137001,0.095841315,2.058070452398495,0.15983123113274006,3.8898563489845457,0.036205056,0.22387842728757223,2.2828587936329248,2.823800002,0.7019755565769507,0.4805462180021665,8.856626657093246e-8,1.1187109667202943e-7,0.087040111,1.9166415844785745,2.163287590297028,0.28194849654648424,1.7862621491286892,5.112611901930225,52.967346936426715,0.10373643041347816,16.99514333331904,1.1831569686726382,35.85884773130681,0.3398023618720295,1.797658519812381,2.728153185523823,0.1424231290398704,0.9385400702571348,0.11092961525227832,43.80517439083238,0.4040331260742029,0.026272394,1.8765966333370387,0.039735749,0.7712815775341284,13.437270224418311,0.2278612385220792,1.8752901191472091,0.20706865746484407,1.527109065210712,2.0010483555288077,80.22521081633961,0.210460868,0.067708478,0.18067873632376277,5.258518610841435,0.7810652625306324,3.025530027918922,0.040477647,1.6893571268933372,0.15537912365836024,3.9408658441099504,0.072339586,0.1285282902076178,0.368633496,0.040974453,0.020862965,0.051458019,0.032781302,0.053994296,0.10743605026809636,0.091127471,0.023682773,0.064294991,0.1131813078522571,0.035603636,0.085652136,0.071304985,0.047890661,0.024702138,0.040974453,0.020862965,0.009955224,0.02419435,0.025236442,0.041361449,0.054239106,0.15701190489797526,0.040137818,0.085587812,0.066431435,0.018359305,0.021794296,0.058748177
